tcga,printable,dataset,task,method,context_json,model,seed,train_fraction,computed_train_size,edit_threshold,results_csv,log_file
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_002625.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_002625.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_002720.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_002720.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003719.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003719.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003819.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003819.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003905.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003905.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003941.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_003941.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004041.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004041.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004127.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004127.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004213.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004213.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004257.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004257.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004341.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004341.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004424.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004424.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004512.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_004512.log
