tcga,printable,dataset,task,method,context_json,model,seed,train_fraction,computed_train_size,edit_threshold,results_csv,log_file
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041018.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041018.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041113.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041113.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041222.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041222.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041315.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041315.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041406.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041406.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041443.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041443.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041536.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_041536.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042604.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042604.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042641.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042641.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042725.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042725.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042809.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042809.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.1,5,80,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042854.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250908_042854.log
