tcga,printable,dataset,task,method,context_json,model,seed,train_fraction,computed_train_size,edit_threshold,results_csv,log_file
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewltm__t__m42-health_Llama3-Med42-70B__seed42__20250930_052919.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewltm__t__m42-health_Llama3-Med42-70B__seed42__20250930_052919.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__zscot__t__m42-health_Llama3-Med42-70B__seed42__20250930_062435.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__zscot__t__m42-health_Llama3-Med42-70B__seed42__20250930_062435.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__rag__t__m42-health_Llama3-Med42-70B__seed42__20250930_070907.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__rag__t__m42-health_Llama3-Med42-70B__seed42__20250930_070907.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewrag__t__m42-health_Llama3-Med42-70B__seed42__20250930_074328.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewrag__t__m42-health_Llama3-Med42-70B__seed42__20250930_074328.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewltm__n__m42-health_Llama3-Med42-70B__seed42__20250930_082711.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewltm__n__m42-health_Llama3-Med42-70B__seed42__20250930_082711.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__zscot__n__m42-health_Llama3-Med42-70B__seed42__20250930_091036.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__zscot__n__m42-health_Llama3-Med42-70B__seed42__20250930_091036.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__rag__n__m42-health_Llama3-Med42-70B__seed42__20250930_095350.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__rag__n__m42-health_Llama3-Med42-70B__seed42__20250930_095350.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,m42-health/Llama3-Med42-70B,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewrag__n__m42-health_Llama3-Med42-70B__seed42__20250930_103844.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/ACC_T14N03__kewrag__n__m42-health_Llama3-Med42-70B__seed42__20250930_103844.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewltm__t__m42-health_Llama3-Med42-70B__seed42__20250930_111710.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewltm__t__m42-health_Llama3-Med42-70B__seed42__20250930_111710.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__zscot__t__m42-health_Llama3-Med42-70B__seed42__20250930_142709.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__zscot__t__m42-health_Llama3-Med42-70B__seed42__20250930_142709.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__rag__t__m42-health_Llama3-Med42-70B__seed42__20250930_172956.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__rag__t__m42-health_Llama3-Med42-70B__seed42__20250930_172956.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewrag__t__m42-health_Llama3-Med42-70B__seed42__20250930_210315.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewrag__t__m42-health_Llama3-Med42-70B__seed42__20250930_210315.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewltm__n__m42-health_Llama3-Med42-70B__seed42__20251001_000111.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__kewltm__n__m42-health_Llama3-Med42-70B__seed42__20251001_000111.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,m42-health/Llama3-Med42-70B,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__zscot__n__m42-health_Llama3-Med42-70B__seed42__20251001_030007.csv,/home/yl3427/cylab/selfCorrectionAgent/runs_med/BLCA_T14N03__zscot__n__m42-health_Llama3-Med42-70B__seed42__20251001_030007.log
